,gross_ret,equity_turnover,cash_turnover,turnover,fee_cost,impact_cost,cost,missing_ret_penalty_ret,capacity_shortfall,base_exposure_signal,base_exposure,vol_scale_signal,vol_scale,exposure,regime,regime_label,net_ret,nav,return_mode,weight_lag_days,exposure_signal_lag_days,vol_scale_lag_days,missing_ret_policy,max_participation_of_adv,impact_bps_at_100pct_adv
2021-11-18,-0.0023026852969522007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,-0.0023026852969522007,3.192828017376844,close_to_close,1,1,1,liquidate,,0.0
2021-11-19,-0.00712026808155778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,-0.00712026808155778,3.1700942259548124,close_to_close,1,1,1,liquidate,,0.0
2021-11-22,-0.033246476493150726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,-0.033246476493150726,3.064699762790533,close_to_close,1,1,1,liquidate,,0.0
2021-11-23,-0.006094077358608707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,-0.006094077358608707,3.046023245355178,close_to_close,1,1,1,liquidate,,0.0
2021-11-24,0.0067996584336851166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,0.0067996584336851166,3.066735163004658,close_to_close,1,1,1,liquidate,,0.0
2021-11-26,-0.021053100178667093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Transition,-0.021053100178667093,3.00217088039648,close_to_close,1,1,1,liquidate,,0.0
2021-11-29,0.015156791567315633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9907820749727153,1.0,1.0,1,Transition,0.015156791567315633,3.047674158680114,close_to_close,1,1,1,liquidate,,0.0
2021-11-30,-0.024345995274958804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9610827658015006,0.9907820749727153,1.0,1,Transition,-0.024345995274958804,2.973475498013274,close_to_close,1,1,1,liquidate,,0.0
2021-12-01,-0.036471544779049264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8878267020924047,0.9610827658015006,1.0,2,RiskOff,-0.036471544779049264,2.865028253238077,close_to_close,1,1,1,liquidate,,0.0
2021-12-02,0.016025488108308155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7799020360764207,0.8878267020924047,1.0,2,RiskOff,0.016025488108308155,2.9109417294403106,close_to_close,1,1,1,liquidate,,0.0
