,AAPL,ADBE,ADI,ADSK,AMAT,AMD,APP,ARM,ASML,AVGO,CDNS,CDW,CRWD,CSCO,CTSH,DDOG,FTNT,GFS,INTC,INTU,KLAC,LRCX,MCHP,MRVL,MSFT,MSTR,MU,NVDA,NXPI,ON,PANW,PLTR,QCOM,ROP,SHOP,SNPS,TEAM,TXN,WDAY,ZS
2021-02-23,,,,,,,,,,,,,,,,,,,,0.03151046928729551,,,,,,,,,,,,,,,,,,,,
2021-05-06,,,,,,,,,,,,,,,,0.04513197423787059,,,,,,,0.031696770096303416,,,,,,,,,,,,,,,,,
2021-05-05,,,,,,,,,,,,0.03358056216097563,,,0.02934901011616533,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,,,,,,,,,,,,,0.05781009352629442,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07174787414087236,,,,,,,,
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04804332756071427,,,,,,,,,,,,
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03606452362034438,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,0.044153066385268655,,,,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,0.03578564884633884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-27,0.043421325915635536,,,,,0.047921086924226516,,,,,,,,,,,,,,,,,,,0.049622001972682475,,,,,,,,,,,,,,,
2021-05-19,,,0.047141634678879066,,,,,,,,,,,0.051178071351295366,,,,,,,,,,,,,,,,,,,,,,0.048300430055929815,,,,
2021-05-20,,,,,0.05003595013566352,,,,,,,,,,,,,,,,,,,,,,,,,,0.054577526313542964,,,,,,,,,
2021-05-27,,,,0.04431220330450197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,,,,,,,,,,,,,,,,,,,0.047476967658894545,,,,,,,,,,,,,,,,,,,,,
2021-07-29,,,,,,,,,,,,,,,,,0.04790893800075293,,,,0.0498655893871803,,,,,0.05400360945233327,,,,,,,,,,,0.05868304517035312,,,
2021-07-28,,,,,,,,,,,,,,,0.03931515482354112,,,,,,,0.050257401155008374,,,,,,,,,,,-0.0033434687009788154,,0.02181020365868032,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03833077680998005,,,,,,,,,,,,,
2021-07-21,,,,,,,,,0.02625746128734092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04675127086703568,,
2021-06-17,,0.04538944915005636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-26,,,,,,,,,,,0.046088996130741196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043244119662167485,,,,,,,,,,,0.04969603635913821,
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048316830695819914,,,,,,
2021-05-25,,,,,,,,,,,,,,,,,,,,0.043288753123301126,,,,,,,,,,,,,,,,,,,,0.07031710754880358
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,0.053134199615013394,,,,,,,,,,,,,,,,,
2021-08-04,,,,,,,,,,,,0.048800464182812184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,,,,,,,,,,0.051774293905151265,,,0.06981646115584696,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,,,,,,,,,,,,,,,,0.07002219384810521,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06570226074307846,,,,,,,,
2021-08-11,,,,,,,0.0638001146292467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05032956939218317,0.05400107575170348,,,,,,,,,,
2021-06-07,,,,,,,,,,,,,,,,,,,,,,,,0.05608513535858765,,,,,,,,,,,,,,,,
2021-10-26,,,,,,0.07215911933831981,,,,,,,,,,,,,,,,,,,0.05818246529161049,,,,,,,,,,,,,0.059579220409250434,,
2021-08-18,,,0.04032801142301562,,,,,,,,,,,0.050405071012442314,,,,,,,,,,,,,,0.06619834786301805,,,,,,,,0.05152238156867498,,,,
2021-10-28,0.06430856871976288,,,,,,,,,,,,,,,,,,,,,,,,,0.07423125058696449,,,,,,,,,0.0383375394226782,,0.09392644540071571,,,
2021-08-19,,,,,0.053771566202155154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,,,,0.05621592779510728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-21,,,,,,,,,,,,,,,,,,,0.047447615536597695,,,,,,,,,,,,,,,,,,,,,
2021-10-27,,,,,,,,,,,,,,,0.02183461443084614,,,,,,0.06544730712656403,,,,,,,,,,,,,,,,,,,
