tic,predicted_return,trade_date
TSLA,0.0607108548283577,2020-04-30
ADBE,0.0473979793519609,2020-04-30
ADSK,0.0484835987916261,2020-04-30
AMAT,0.0491472462704764,2020-04-30
CDNS,0.0547818059869897,2020-04-30
CRWD,0.0669807843611018,2020-04-30
LRCX,0.0518167174971887,2020-04-30
NVDA,0.0788035573590256,2020-04-30
PANW,0.0542822254613326,2020-04-30
GOOGL,0.0909892107258076,2020-04-30
META,0.0894191520092959,2020-04-30
NFLX,0.0459619184401102,2020-04-30
CSGP,0.0536049025831744,2020-04-30
ORLY,0.0501387976109981,2020-05-01
SBUX,0.0526515915989875,2020-05-01
TSLA,0.0607108548283577,2020-05-01
ADBE,0.0473979793519609,2020-05-01
ADSK,0.0484835987916261,2020-05-01
AMAT,0.0491472462704764,2020-05-01
CDNS,0.0547818059869897,2020-05-01
CRWD,0.0669807843611018,2020-05-01
LRCX,0.0518167174971887,2020-05-01
NVDA,0.0788035573590256,2020-05-01
PANW,0.0542822254613326,2020-05-01
CHTR,0.0550240473485511,2020-05-01
GOOGL,0.0909892107258076,2020-05-01
META,0.0894191520092959,2020-05-01
NFLX,0.0459619184401102,2020-05-01
CSGP,0.0536049025831744,2020-05-01
ORLY,0.0501387976109981,2020-05-04
SBUX,0.0526515915989875,2020-05-04
TSLA,0.0607108548283577,2020-05-04
ADBE,0.0473979793519609,2020-05-04
ADSK,0.0484835987916261,2020-05-04
AMAT,0.0491472462704764,2020-05-04
CDNS,0.0547818059869897,2020-05-04
CRWD,0.0669807843611018,2020-05-04
LRCX,0.0518167174971887,2020-05-04
NVDA,0.0788035573590256,2020-05-04
PANW,0.0542822254613326,2020-05-04
CHTR,0.0550240473485511,2020-05-04
GOOGL,0.0909892107258076,2020-05-04
META,0.0894191520092959,2020-05-04
NFLX,0.0459619184401102,2020-05-04
CSGP,0.0536049025831744,2020-05-04
MELI,0.0598067939281463,2020-05-05
ORLY,0.0501387976109981,2020-05-05
SBUX,0.0526515915989875,2020-05-05
TSLA,0.0607108548283577,2020-05-05
ADBE,0.0473979793519609,2020-05-05
ADSK,0.0484835987916261,2020-05-05
AMAT,0.0491472462704764,2020-05-05
CDNS,0.0547818059869897,2020-05-05
CRWD,0.0669807843611018,2020-05-05
LRCX,0.0518167174971887,2020-05-05
NVDA,0.0788035573590256,2020-05-05
PANW,0.0542822254613326,2020-05-05
