,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2025-02-05,,,,,,,,0.04070621728897095,,,,
2025-02-11,,,,0.037947554141283035,,0.03722211346030235,,,,,,
2025-03-20,,,,,,,,,0.04636675491929054,,,
2025-02-13,0.06470523029565811,,,,,,,,,,,
2025-02-06,,0.037947554141283035,,,,,,,,,,
2025-02-20,,,0.04777102917432785,,,,0.05239025503396988,,,,,
2024-12-03,,,,,0.04269210621714592,,,,,,,
2025-01-29,,,,,,,,,,,,0.0378318727016449
2025-03-04,,,,,,,,,,0.03727276995778084,,
2025-04-29,,,0.04906309023499489,,,,,,,,0.006881659384816885,
2025-04-23,,,,,,,,0.00967816635966301,,,,
2025-05-06,,,,0.03727276995778084,,0.006987359374761581,,,,,,
2025-05-27,,,,,,,,,0.04209672287106514,,,
2025-05-01,0.04906309023499489,0.03727276995778084,,,,,,,,,,
2025-03-27,,,,,0.04209672287106514,,,,,,,
2025-05-07,,,,,,,0.05343400686979294,,,,,
2025-04-22,,,,,,,,,,,,0.03727276995778084
2025-05-22,,,,,,,,,,0.036359477788209915,,
2025-07-29,,,0.03729221969842911,,,,,,,,0.03460525721311569,
2025-07-23,,,,,,,,0.04507139325141907,,,,0.036359477788209915
2025-08-05,,,,,,0.036359477788209915,,,,,,
2025-08-25,,,,,,,,,0.06074712052941322,,,
2025-08-06,0.04429841786623001,,,0.036359477788209915,,,,,,,,
2025-07-31,,0.036359477788209915,,,,,,,,,,
2025-06-05,,,,,0.04429841786623001,,,,,,,
2025-08-04,,,,,,,0.05196523666381836,,,,,
2025-08-21,,,,,,,,,,0.03670854493975639,,
2025-10-29,,,,,,,0.04742192476987839,,,,0.05251145735383034,
2025-10-22,,,,,,,,0.008472563698887825,,,,0.03670854493975639
2025-11-04,,,,,,0.045771967619657516,,,,,,
2025-11-18,,,,,,,,,0.03643850237131119,,,
2025-11-05,,,,0.04649636521935463,,,,,,,,
2025-11-06,0.03670854493975639,,,,,,,,,,,
2025-10-30,,0.03670854493975639,,,,,,,,,,
2025-10-28,,,0.037095777690410614,,,,,,,,,
2025-09-04,,,,,0.035416316241025925,,,,,,,
2025-11-20,,,,,,,,,,0.03772757202386856,,
2026-01-28,,,,,,,,,,,0.044999416917562485,0.03706836700439453
2026-02-04,,,,,,,,0.008037620224058628,,,,
2026-02-10,,,,,,0.0476888082921505,,,,,,
2026-02-12,0.03772757202386856,,,,,,,,,,,
2026-02-05,,0.03772757202386856,,,,,,,,,,
2025-12-11,,,,,0.03772757202386856,,,,,,,
